,DATETIME,Body of Water Name,DataContact,LAT,LONG,Secchi Depth (m),Total Nitrogen (ug/L),Total Phosphorus (ug/L),Total Chlorophyll a (ug/L),Microcystin (ug/L)
290,06-03-21 0:00,Dora West,Dana Stephens,28.790475,-81.713753,0.39624,2846.66667,63.3333333,128,0.45750399
291,06-05-24 0:00,Dora West,Dana Stephens,28.790475,-81.713753,0.39624,3066.66667,45.6666667,131.333333,0.2518457
292,06-07-19 0:00,Dora West,Dana Stephens,28.790475,-81.713753,0.39624,2620,33,131.333333,1.25911602
293,06-09-19 0:00,Dora West,Dana Stephens,28.790475,-81.713753,0.43688,3266.66667,38.3333333,107.333333,1.82510641
294,06-11-27 0:00,Dora West,Dana Stephens,28.790475,-81.713753,0.3048,3383.33333,51,101.666667,0.96065586
295,06-01-13 0:00,Dorr,Dana Stephens,29.0033833,-81.612367,,613.333333,17,4.66666667,0.02761943
296,06-03-29 0:00,Dorr,Dana Stephens,29.0033833,-81.612367,0.9144,633.333333,22.6666667,4.66666667,0.1051441
297,06-06-14 0:00,Dorr,Dana Stephens,29.0033833,-81.612367,0.762,546.666667,17,6.33333333,0.04091479
298,06-07-19 0:00,Dorr,Dana Stephens,29.0033833,-81.612367,1.27,456.666667,12.3333333,3.66666667,0.02975007
299,06-12-21 0:00,Dorr,Dana Stephens,29.0033833,-81.612367,1.4224,390,12.6666667,5.66666667,0.03287589
300,06-01-11 0:00,East Crooked,Dana Stephens,28.8328056,-81.665028,,,,,0.20258464
301,06-03-26 0:00,East Crooked,Dana Stephens,28.8328056,-81.665028,3.78968,793.333333,7.33333333,4,0.168977
302,06-06-10 0:00,East Crooked,Dana Stephens,28.8328056,-81.665028,2.51968,503.333333,8.33333333,4.66666667,0.04596772
303,06-07-14 0:00,East Crooked,Dana Stephens,28.8328056,-81.665028,3.18008,486.666667,8,4.33333333,0.06720173
304,06-10-29 0:00,East Crooked,Dana Stephens,28.8328056,-81.665028,4.04368,660,8.33333333,3.66666667,0.04991176
832,06-01-25 0:00,Eastern,Dana Stephens,30.3096833,-86.092967,2.0828,176.666667,10.3333333,3,0.06094879
833,06-03-28 0:00,Eastern,Dana Stephens,30.3096833,-86.092967,2.11328,290,15.6666667,3,0.04311905
834,06-05-30 0:00,Eastern,Dana Stephens,30.3096833,-86.092967,1.65608,260,18,6.66666667,0.03165068
835,06-08-22 0:00,Eastern,Dana Stephens,30.3096833,-86.092967,1.50368,260,18,10.3333333,0.05387793
836,06-09-26 0:00,Eastern,Dana Stephens,30.3096833,-86.092967,1.76784,270,16,9.33333333,0.06002773
837,06-11-23 0:00,Eastern,Dana Stephens,30.3096833,-86.092967,1.4732,276.666667,12.6666667,13,0.10006878
500,06-01-10 0:00,Eaton,Dana Stephens,29.2576333,-81.868117,0.3048,1266.66667,69.6666667,1.66666667,0.10101613
501,06-03-13 0:00,Eaton,Dana Stephens,29.2576333,-81.868117,0.4572,1343.33333,50,2.33333333,0.04071856
502,06-05-04 0:00,Eaton,Dana Stephens,29.2576333,-81.868117,0.6096,1153.33333,45.6666667,6.66666667,0.02790063
503,06-07-05 0:00,Eaton,Dana Stephens,29.2576333,-81.868117,0.9144,850,36,12.3333333,0.05956158
305,06-03-30 0:00,Emeralda,Dana Stephens,28.9102333,-81.836967,0.4064,2353.33333,50.3333333,74,0.1954722
306,06-05-01 0:00,Emeralda,Dana Stephens,28.9102333,-81.836967,0.43688,2050,39.3333333,43,0.18899012
307,06-07-30 0:00,Emeralda,Dana Stephens,28.9102333,-81.836967,0.43688,1820,29.6666667,42,0.62311086
308,06-10-06 0:00,Emeralda,Dana Stephens,28.9102333,-81.836967,0.4572,2213.33333,37.6666667,52.3333333,0.9044878
309,06-12-11 0:00,Emeralda,Dana Stephens,28.9102333,-81.836967,0.36576,2740,60.3333333,54.6666667,1.31620381
310,06-01-22 0:00,Emma,Dana Stephens,28.6138167,-81.851633,0.79248,1273.33333,14.6666667,2.66666667,0.06341161
311,06-03-05 0:00,Emma,Dana Stephens,28.6138167,-81.851633,1.04648,1260,15.6666667,3,0.03368466
