,DATETIME,Body of Water Name,DataContact,LAT,LONG,Secchi Depth (m),Total Nitrogen (ug/L),Total Phosphorus (ug/L),Total Chlorophyll a (ug/L),Microcystin (ug/L)
100,2006-12-03 00:00:00,Tsala Apopka,Dana Stephens,28.8545833,-82.293217,,1033.33333,16.0,4.66666667,0.09207344
101,2006-01-12 00:00:00,Brooklyn,Dana Stephens,29.8025,-82.031111,2.8956,220.0,10.5,2.0,0.06178295
102,2006-05-05 00:00:00,Brooklyn,Dana Stephens,29.8025,-82.031111,4.14528,236.666667,9.33333333,1.33333333,0.01862666
103,2006-07-07 00:00:00,Brooklyn,Dana Stephens,29.8025,-82.031111,3.93192,340.0,8.5,4.0,0.04913719
104,2006-09-08 00:00:00,Brooklyn,Dana Stephens,29.8025,-82.031111,2.4384,250.0,10.5,3.5,0.04503105
105,2006-11-10 00:00:00,Brooklyn,Dana Stephens,29.8025,-82.031111,2.7432,320.0,18.0,5.0,0.05564176
106,2006-02-22 00:00:00,Hall,Dana Stephens,29.8008611,-81.923028,2.7432,343.333333,5.33333333,1.33333333,0.10005648
107,2006-03-29 00:00:00,Hall,Dana Stephens,29.8008611,-81.923028,2.9718,343.333333,9.66666667,1.0,0.02458061
108,2006-05-01 00:00:00,Hall,Dana Stephens,29.8008611,-81.923028,2.286,493.333333,13.6666667,3.0,0.00968529
109,2006-01-01 00:00:00,Hutchinson,Dana Stephens,29.7479722,-82.017722,4.3688,186.666667,10.0,2.33333333,0.04285977
110,2006-03-02 00:00:00,Hutchinson,Dana Stephens,29.7479722,-82.017722,3.9116,210.0,10.3333333,2.0,0.0484571
111,2006-06-04 00:00:00,Hutchinson,Dana Stephens,29.7479722,-82.017722,2.794,310.0,9.0,15.3333333,0.04580142
112,2006-11-11 00:00:00,Hutchinson,Dana Stephens,29.7479722,-82.017722,2.6416,253.33333299999998,11.0,2.0,0.06562035
113,2006-01-24 00:00:00,Twin,Dana Stephens,29.7678889,-81.997694,4.4704,333.333333,7.33333333,1.66666667,0.06095845
114,2006-03-24 00:00:00,Twin,Dana Stephens,29.7678889,-81.997694,3.78968,346.666667,7.33333333,2.0,0.12714999
115,2006-05-21 00:00:00,Twin,Dana Stephens,29.7678889,-81.997694,2.9972,403.333333,9.33333333,,0.02871123
116,2006-01-30 00:00:00,Jeffery,Dana Stephens,30.2080833,-82.689944,1.04648,660.0,15.666666700000002,5.66666667,0.09912041
117,2006-05-20 00:00:00,Jeffery,Dana Stephens,30.2080833,-82.689944,1.25984,620.0,16.6666667,11.3333333,0.06347023
118,2006-07-08 00:00:00,Jeffery,Dana Stephens,30.2080833,-82.689944,1.1684,623.333333,16.6666667,8.33333333,0.02627535
119,2006-09-17 00:00:00,Jeffery,Dana Stephens,30.2080833,-82.689944,0.94488,773.333333,17.0,15.6666667,0.05254803
120,2006-11-30 00:00:00,Jeffery,Dana Stephens,30.2080833,-82.689944,0.79248,750.0,16.3333333,8.66666667,0.04851828
121,2006-10-01 00:00:00,Willow,Dana Stephens,30.1426944,-81.571639,0.33528,2186.66667,40.0,108.333333,0.15490395
122,2006-02-06 00:00:00,Stone,Dana Stephens,30.9644667,-87.288033,1.0668,563.333333,36.3333333,16.6666667,0.06734517
123,2006-04-04 00:00:00,Stone,Dana Stephens,30.9644667,-87.288033,0.82296,860.0,25.0,32.6666667,0.05521656
124,2006-06-01 00:00:00,Stone,Dana Stephens,30.9644667,-87.288033,1.46304,573.333333,25.0,13.6666667,0.10609119
125,2006-07-06 00:00:00,Stone,Dana Stephens,30.9644667,-87.288033,0.85344,1130.0,38.3333333,38.3333333,0.07458056
126,2006-09-07 00:00:00,Stone,Dana Stephens,30.9644667,-87.288033,1.12776,776.666667,45.3333333,61.0,0.15360555
127,2006-12-01 00:00:00,Stone,Dana Stephens,30.9644667,-87.288033,0.67056,1563.33333,54.0,163.333333,0.17822929
128,2006-01-04 00:00:00,Disston,Dana Stephens,29.287,-81.388667,0.36576,1156.66667,32.3333333,1.0,0.11
129,2006-04-06 00:00:00,Disston,Dana Stephens,29.287,-81.388667,0.4572,786.666667,32.6666667,7.0,0.01018725
130,2006-06-06 00:00:00,Disston,Dana Stephens,29.287,-81.388667,0.4572,1043.33333,31.666666699999997,8.0,0.00951837
131,2006-07-07 00:00:00,Disston,Dana Stephens,29.287,-81.388667,0.54864,1383.33333,29.6666667,3.0,0.04165455
132,2006-09-04 00:00:00,Disston,Dana Stephens,29.287,-81.388667,0.4572,980.0,32.6666667,7.33333333,0.04692885
133,2006-11-05 00:00:00,Disston,Dana Stephens,29.287,-81.388667,0.6096,1060.0,30.6666667,4.0,0.02361709
134,2006-01-20 00:00:00,Pine Grove,Dana Stephens,29.5086111,-81.206111,1.22936,1030.0,65.0,12.3333333,0.06504301
135,2006-03-16 00:00:00,Pine Grove,Dana Stephens,29.5086111,-81.206111,1.33096,1060.0,100.333333,9.66666667,0.05417688
136,2006-05-17 00:00:00,Pine Grove,Dana Stephens,29.5086111,-81.206111,1.24968,946.666667,142.0,3.66666667,0.02995009
137,2006-07-12 00:00:00,Pine Grove,Dana Stephens,29.5086111,-81.206111,0.79248,986.666667,193.0,12.6666667,0.06522944
138,2006-09-14 00:00:00,Pine Grove,Dana Stephens,29.5086111,-81.206111,1.04648,1253.33333,344.0,8.0,0.07132058
139,2006-11-15 00:00:00,Pine Grove,Dana Stephens,29.5086111,-81.206111,1.33096,1006.66667,132.333333,5.0,0.08128671
140,2006-01-31 00:00:00,Ribbon North,Dana Stephens,29.5591667,-81.219167,1.30048,743.333333,22.6666667,9.66666667,0.08586153
141,2006-03-31 00:00:00,Ribbon North,Dana Stephens,29.5591667,-81.219167,1.2192,720.0,22.0,6.0,0.18143112
142,2006-05-24 00:00:00,Ribbon North,Dana Stephens,29.5591667,-81.219167,2.0828,530.0,17.6666667,4.0,0.01635491
143,2006-08-24 00:00:00,Ribbon North,Dana Stephens,29.5591667,-81.219167,1.7272,693.333333,16.3333333,7.66666667,0.06672526
144,2006-09-25 00:00:00,Ribbon North,Dana Stephens,29.5591667,-81.219167,1.2192,703.333333,16.0,9.33333333,0.08328922
145,2006-11-24 00:00:00,Ribbon North,Dana Stephens,29.5591667,-81.219167,1.09728,766.666667,18.6666667,10.6666667,0.08434858
146,2006-01-03 00:00:00,Wynnfield,Dana Stephens,29.5361111,-81.253333,0.89408,956.666667,84.3333333,5.0,0.09266582
147,2006-03-06 00:00:00,Wynnfield,Dana Stephens,29.5361111,-81.253333,,666.666667,44.6666667,5.0,0.06806348
